Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
				0.38192	1.32549	0.229498	2.23479	0.382139	1.3266	0.803784	3.97329	0.957935	6.62378	0.629398	1.70889	0.896256	5.93957
				0.383157	1.33159	0.23158	2.23471	0.383378	1.33262	0.807453	3.90392	0.964093	6.59556	0.630979	1.68551	0.90177	5.89564
				0.384401	1.33764	0.233662	2.23464	0.384622	1.33871	0.811058	3.83572	0.970225	6.5687	0.632538	1.66325	0.907242	5.85027
				0.38565	1.3437	0.235744	2.23456	0.385872	1.34479	0.8146	3.76873	0.976333	6.54293	0.634078	1.64204	0.912671	5.80357
				0.386905	1.34978	0.237826	2.23449	0.387128	1.35083	0.818081	3.70302	0.982417	6.51811	0.635598	1.62181	0.918056	5.75561
				0.388165	1.35581	0.239908	2.23442	0.388389	1.3569	0.821501	3.63852	0.988479	6.49401	0.6371	1.60257	0.923396	5.70639
				0.389431	1.36191	0.24199	2.23434	0.389656	1.36297	0.824861	3.57525	0.994518	6.47047	0.638584	1.58424	0.928689	5.65611
				0.390703	1.36796	0.244071	2.23427	0.390929	1.36904	0.828163	3.51329	1.00054	6.45883	0.640052	1.56672	0.933936	5.60483
				0.39198	1.37399	0.246153	2.23423	0.392207	1.37512	0.831407	3.45258			0.641504	1.55009	0.939133	5.55252
				0.393263	1.38008	0.248235	2.23418	0.393491	1.38112	0.834596	3.39314			0.64294	1.53427	0.944282	5.49935
				0.394552	1.38609	0.250316	2.23411	0.394781	1.38713	0.83773	3.33501			0.644363	1.51918	0.949381	5.44544
				0.395846	1.39206	0.252398	2.23404	0.396076	1.39317	0.840811	3.27814			0.645771	1.50482	0.954429	5.3908
				0.397146	1.39809	0.254479	2.23397	0.397377	1.39916	0.843839	3.22258			0.647167	1.4912	0.959426	5.33554
				0.398451	1.40407	0.25656	2.2339	0.398683	1.40512	0.846816	3.16828			0.64855	1.47823	0.964371	5.27974
				0.399762	1.40999	0.258642	2.23387	0.399995	1.41103	0.849742	3.1152			0.649921	1.46589	0.969264	5.22347
				0.401078	1.41591	0.260723	2.23381	0.401313	1.41695	0.85262	3.06336			0.651281	1.45415	0.974105	5.16684
				0.4024	1.42184	0.262804	2.23375	0.402636	1.42288	0.855451	3.01279			0.652631	1.44305	0.978892	5.10988
				0.403728	1.4277	0.264885	2.23371	0.403964	1.42877	0.858234	2.96341			0.65397	1.43248	0.983626	5.0527
				0.405061	1.43356	0.266966	2.23363	0.405298	1.43461	0.860973	2.91525			0.6553	1.42243	0.988307	4.99539
				0.406399	1.43938	0.269047	2.23358	0.406637	1.44039	0.863667	2.86828			0.656621	1.41298	0.992935	4.93799
				0.407743	1.44515	0.271128	2.23356	0.407982	1.44617	0.866317	2.82245			0.657933	1.40393	0.997509	4.88055
				0.409092	1.45096	0.273209	2.23351	0.409332	1.45195	0.868926	2.77779			0.659237	1.39538	1.00203	4.85183
