Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.07406	2.43556	1.07261	2.43525	0.615664	4.51106	0.842198	6.19853	1.1225	7.99782	1.30723	9.13818	0.427185	3.15086	1.04851	2.59801	0.855479	6.30288	1.0702	7.84715	1.39247	9.65385
1.07018	2.43474	1.06873	2.43443	0.616986	4.47344	0.84363	6.14381	1.12283	7.97325	1.30852	9.05582	0.428726	3.12891	1.04481	2.59814	0.856863	6.24666	1.07085	7.8012	1.3928	9.56048
1.0663	2.43391	1.06486	2.4336	0.618281	4.4364	0.845109	6.09056	1.12319	7.94671	1.30984	8.97532	0.43025	3.1073	1.04113	2.59831	0.858223	6.19142	1.07165	7.74657	1.39312	9.46885
1.06243	2.43309	1.06099	2.43278	0.61955	4.39994	0.846633	6.03873	1.12367	7.91089	1.3112	8.89664	0.431759	3.08603	1.03746	2.59852	0.85956	6.13716	1.07263	7.68376	1.39343	9.3789
1.05856	2.43227	1.05712	2.43196	0.620793	4.36403	0.848201	5.98826	1.12428	7.86603	1.31259	8.81972	0.433255	3.0651	1.03382	2.59878	0.860874	6.08384	1.07379	7.61333	1.39372	9.29061
1.0547	2.43145	1.05325	2.43114	0.622012	4.32868	0.849812	5.93911	1.125	7.81245	1.31402	8.74449	0.43474	3.04452	1.03019	2.5991	0.862165	6.03145	1.07498	7.54461	1.394	9.20392
1.05083	2.43063	1.04939	2.43033	0.623207	4.29386	0.851464	5.89123	1.12582	7.75049	1.31548	8.67091	0.436215	3.02428	1.02659	2.59948	0.863436	5.97995	1.07622	7.47755	1.39427	9.1188
1.04698	2.42982	1.04554	2.42952	0.62438	4.25958	0.853158	5.84458	1.12675	7.68057	1.31697	8.59893	0.437681	3.00438	1.02301	2.59992	0.864686	5.92934	1.0775	7.41208	1.39453	9.03522
1.04312	2.42901	1.04168	2.42871	0.62553	4.22582	0.85489	5.79911	1.12766	7.61188	1.31849	8.52848	0.43914	2.98482	1.01946	2.60044	0.865917	5.87959	1.07881	7.34815	1.39478	8.95313
1.03927	2.4282	1.03783	2.4279	0.62666	4.19257	0.856661	5.75478	1.12855	7.54438	1.32004	8.45953	0.440595	2.96561	1.01594	2.60105	0.86713	5.83068	1.08016	7.28573	1.39503	8.87251
1.03542	2.4274	1.03399	2.4271	0.627771	4.15983	0.858469	5.71154	1.12942	7.47806	1.32142	8.40063	0.442045	2.94675	1.01246	2.60174	0.868326	5.7826	1.08155	7.22475	1.39527	8.79332
