Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		373  Points		352  Points		225  Points		395  Points		379  Points		286  Points		227  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.96852	2.53863	0.966094	2.54035	0.716772	4.13045	0.942494	5.41083	1.26558	7.26784	0.525893	3.03797	1.06002	2.95719	0.98997	5.69486	1.17961	6.79951
0.965634	2.54067	0.963212	2.54242	0.718365	4.10548	0.944664	5.37872	1.26598	7.21033	0.527889	3.02429	1.0581	2.96377	0.99108	5.65431	1.18179	6.75585
0.962753	2.54275	0.960335	2.54452	0.719943	4.08084	0.946858	5.34727	1.26638	7.15383	0.529877	3.01078	1.05619	2.97042	0.99219	5.6144	1.18398	6.713
0.959876	2.54485	0.957462	2.54664	0.721509	4.05652	0.949077	5.31646	1.2668	7.09831	0.531859	2.99746	1.05427	2.97713	0.993299	5.57515	1.18619	6.67093
0.957004	2.54699	0.954592	2.5488	0.723061	4.03253	0.951318	5.28628	1.26723	7.04375	0.533835	2.98432	1.05237	2.9839	0.994409	5.53652	1.18842	6.62962
0.954135	2.54914	0.951726	2.55097	0.724601	4.00884	0.953582	5.2567	1.26767	6.99012	0.535806	2.97136	1.05046	2.99074	0.99552	5.49852	1.19066	6.58905
0.951269	2.55132	0.948861	2.55317	0.72613	3.98548	0.955868	5.2277	1.26812	6.93742	0.537773	2.95859	1.04856	2.99765	0.996634	5.46113	1.19291	6.54921
0.948405	2.55353	0.945998	2.55539	0.727647	3.96241	0.958175	5.19927	1.26859	6.88561	0.539737	2.946	1.04666	3.00462	0.997749	5.42435	1.19517	6.51006
0.945542	2.55575	0.943136	2.55763	0.729154	3.93965	0.960502	5.1714	1.26907	6.83468	0.541699	2.9336	1.04477	3.01165	0.998869	5.38815	1.19745	6.47159
0.942679	2.55799	0.940273	2.55989	0.730651	3.9172	0.962848	5.14405	1.26957	6.7846	0.543659	2.92138	1.04287	3.01876	0.999992	5.35253	1.19974	6.43379
0.939816	2.56025	0.937409	2.56216	0.732139	3.89503	0.965213	5.11723	1.27008	6.73537	0.545618	2.90934	1.04098	3.02592	1.00112	5.31749	1.20205	6.39662
0.936952	2.56253	0.934543	2.56445	0.733619	3.87316	0.967596	5.0909	1.2706	6.68696	0.547577	2.89749	1.03909	3.03315	1.00225	5.28301	1.20436	6.36008
0.934086	2.56481	0.931675	2.56674	0.73509	3.85158	0.969995	5.06507	1.27114	6.63936	0.549538	2.88582	1.0372	3.04044	1.0034	5.24909	1.20668	6.32415
