Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		374  Points		355  Points		227  Points		396  Points		379  Points		289  Points		231  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.00288	2.09825	1.00076	2.09244	0.690151	1.2533	0.913644	1.22263	1.25501	0.189816	0.496975	1.47767	1.07775	1.37554	0.967772	0.847312	1.14895	1.28444
0.99986	2.08996	0.997749	2.08426	0.69195	1.23869	0.915425	1.24551	1.25529	0.194983	0.499098	1.46426	1.07577	1.37042	0.96899	0.839626	1.15081	1.30207
0.996849	2.08182	0.994746	2.07619	0.693727	1.22431	0.917239	1.26813	1.25558	0.200313	0.501202	1.45148	1.0738	1.36544	0.970196	0.832303	1.15271	1.31934
0.99385	2.07381	0.991755	2.06832	0.695484	1.21024	0.919086	1.29042	1.25587	0.205872	0.503288	1.43937	1.07183	1.36053	0.971392	0.825456	1.15462	1.33622
0.990863	2.066	0.988776	2.06063	0.697221	1.19647	0.920964	1.3123	1.25617	0.211617	0.505357	1.42798	1.06987	1.35577	0.972579	0.81903	1.15656	1.35271
0.987886	2.05836	0.985807	2.05309	0.698938	1.18299	0.922874	1.33382	1.25648	0.217529	0.50741	1.41722	1.06792	1.35115	0.973757	0.812997	1.15853	1.36876
0.984921	2.05091	0.982849	2.04578	0.700636	1.16984	0.924815	1.35501	1.2568	0.223635	0.509448	1.40719	1.06597	1.34661	0.974926	0.807453	1.16051	1.3844
0.981966	2.04362	0.979901	2.0387	0.702315	1.15708	0.926785	1.37572	1.25713	0.229947	0.511472	1.3979	1.06403	1.34221	0.976088	0.802338	1.16252	1.39965
0.979021	2.0366	0.976964	2.0318	0.703976	1.14465	0.928786	1.396	1.25746	0.236472	0.513483	1.38922	1.0621	1.33794	0.977242	0.797729	1.16456	1.41446
0.976087	2.02981	0.974036	2.02517	0.705619	1.13258	0.930815	1.41588	1.25781	0.24314	0.515483	1.38129	1.06017	1.33382	0.97839	0.793594	1.16661	1.42886
0.973162	2.02325	0.971118	2.0188	0.707245	1.12087	0.932873	1.43527	1.25816	0.250027	0.517471	1.37407	1.05825	1.32988	0.979533	0.789915	1.16868	1.44279
0.970246	2.01695	0.968208	2.01271	0.708855	1.10959	0.934959	1.45415	1.25853	0.257132	0.519449	1.36745	1.05633	1.32604	0.980671	0.786794	1.17077	1.45628
0.967339	2.01095	0.965307	2.00692	0.710448	1.09872	0.937071	1.47257	1.25891	0.264383	0.521418	1.36158	1.05442	1.3223	0.981804	0.784134	1.17288	1.46936
0.964441	2.00524	0.962415	2.00141	0.712027	1.08826	0.93921	1.49053	1.25929	0.271854	0.52338	1.35638	1.05251	1.31879	0.982934	0.781999	1.17501	1.48194
0.961551	1.99983	0.95953	1.99625	0.71359	1.07824	0.941374	1.50793	1.25969	0.279508	0.525334	1.3518	1.05061	1.31543	0.984062	0.780419	1.17716	1.49409
0.958668	1.99478	0.956652	1.99143	0.715139	1.06861	0.943563	1.52484	1.2601	0.2874	0.527282	1.34793	1.04871	1.31223	0.985187	0.779336	1.17933	1.50581
0.955792	1.99005	0.953781	1.98697	0.716675	1.05941	0.945776	1.54123	1.26052	0.295484	0.529225	1.34464	1.04682	1.30919	0.986312	0.778758	1.18151	1.51705
0.952923	1.9857	0.950916	1.98291	0.718197	1.05066	0.948012	1.55705	1.26095	0.303774	0.531164	1.34197	1.04493	1.30634	0.987435	0.778761	1.18371	1.52783
0.95006	1.98176	0.948057	1.97924	0.719708	1.04237	0.95027	1.57232	1.2614	0.312277	0.533099	1.33998	1.04305	1.3037	0.98856	0.779313	1.18592	1.53817
0.947202	1.97821	0.945203	1.97601	0.721206	1.03446	0.952551	1.58706	1.26185	0.320923	0.535032	1.33854	1.04117	1.30122	0.989685	0.780357	1.18815	1.54806
0.94435	1.97513	0.942353	1.9732	0.722694	1.02706	0.954852	1.60128	1.26232	0.329861	0.536963	1.33768	1.0393	1.2989	0.990812	0.782015	1.19039	1.55751
0.941501	1.97249	0.939506	1.97089	0.724171	1.0201	0.957173	1.6149	1.26281	0.33898	0.538893	1.33739	1.03742	1.29682	0.991943	0.784199	1.19264	1.56652
0.938655	1.9703	0.936663	1.96912	0.725639	1.01354	0.959514	1.62798	1.2633	0.348301	0.540824	1.33765	1.03555	1.295	0.993076	0.786939	1.19491	1.57505
0.935813	1.96869	0.933822	1.96785	0.727097	1.00744	0.961873	1.64049	1.26381	0.357868	0.542755	1.33844	1.03368	1.29334	0.994214	0.790249	1.19719	1.58313
