Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
345  Points		344  Points		206  Points		142  Points		293  Points		293  Points		145  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.494713	3.49212	0.448801	4.79977	0.906066	4.30792			0.707901	2.73417	0.707483	2.73371		
0.497019	3.50918	0.451962	4.79697	0.908879	4.23437			0.709703	2.73643	0.709284	2.73583		
0.499337	3.52595	0.455121	4.79417	0.911645	4.16294			0.711506	2.73927	0.711088	2.73855		
0.501665	3.54247	0.458279	4.79137	0.914365	4.09361			0.713312	2.74265	0.712893	2.74183		
0.504004	3.5587	0.461434	4.78863	0.917039	4.02653			0.71512	2.74657	0.7147	2.74564		
0.506354	3.57474	0.464588	4.78586	0.91967	3.9616			0.716931	2.75102	0.71651	2.74993		
0.508715	3.59053	0.46774	4.78307	0.922259	3.89879			0.718745	2.75599	0.718324	2.75477		
0.511085	3.60604	0.47089	4.78033	0.924807	3.83818			0.720562	2.76137	0.72014	2.76009		
0.513466	3.62135	0.474039	4.77762	0.927316	3.7797			0.722383	2.76722	0.72196	2.76581		
0.515857	3.63641	0.477186	4.77486	0.929787	3.72332			0.724208	2.77352	0.723784	2.77203		
0.518257	3.65125	0.48033	4.77208	0.932222	3.66908			0.726038	2.78023	0.725613	2.77866		
0.520668	3.66581	0.483473	4.7694	0.934622	3.61684			0.727872	2.78738	0.727446	2.78566		
0.523088	3.68014	0.486615	4.76666	0.936988	3.56664			0.72971	2.79488	0.729283	2.79309		
0.525517	3.69424	0.489754	4.76395	0.939321	3.51839			0.731554	2.80273	0.731126	2.8009		
0.527955	3.70813	0.492892	4.76129	0.941624	3.47209			0.733403	2.8109	0.732974	2.809		
0.530403	3.72181	0.496028	4.75862	0.943896	3.42772			0.735258	2.81943	0.734827	2.8174		
0.532859	3.73527	0.499162	4.75594	0.94614	3.38512			0.737118	2.82826	0.736686	2.82615		
0.535324	3.74848	0.502294	4.7532	0.948356	3.3444			0.738984	2.83739	0.738551	2.83525		
0.537798	3.76145	0.505425	4.75058	0.950547	3.3054			0.740857	2.84677	0.740422	2.84461		
0.54028	3.77426	0.508553	4.74798	0.952712	3.26808			0.742735	2.85643	0.742299	2.85416		
0.542771	3.78683	0.511681	4.74528	0.954853	3.23249			0.744621	2.86639	0.744182	2.86406		
0.54527	3.79922	0.514806	4.74264	0.956971	3.19848			0.746512	2.87654	0.746073	2.87419		
0.547777	3.81137	0.51793	4.74007	0.959067	3.16599			0.748411	2.88696	0.74797	2.88449		
0.550292	3.8233	0.521052	4.7375	0.961142	3.13509			0.750316	2.89755	0.749873	2.89507		
0.552815	3.83507	0.524172	4.73486	0.963198	3.1056			0.752229	2.90834	0.751784	2.90585		
0.555345	3.84665	0.52729	4.73225	0.965234	3.07755			0.754148	2.91937	0.753702	2.91679		
0.557883	3.85798	0.530407	4.7297	0.967253	3.05094			0.756075	2.93054	0.755627	2.9279		
0.560428	3.86913	0.533522	4.72713	0.969254	3.02557			0.75801	2.94182	0.75756	2.9392		
0.562981	3.88015	0.536636	4.7246	0.971239	3.00154			0.759951	2.95331	0.7595	2.95066		
0.565541	3.89094	0.539747	4.72204	0.973209	2.97875			0.761901	2.96501	0.761448	2.96229		
0.568108	3.90151	0.542857	4.71952	0.975164	2.95715			0.763858	2.97677	0.763403	2.974		
0.570682	3.91193	0.545966	4.71702	0.977106	2.93678			0.765823	2.98865	0.765366	2.98587		
