Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.569205	4.72088	0.550369	4.56137	0.969719	8.06339	0.758763	6.3069	0.75831	6.31085		
0.571849	4.71765	0.553537	4.5633	0.971592	8.03601	0.760749	6.28979	0.760294	6.29368		
0.574501	4.71452	0.556701	4.56519	0.973452	8.0088	0.762744	6.27295	0.762287	6.27678		
0.577159	4.71148	0.559863	4.56705	0.975297	7.98176	0.76475	6.25636	0.764291	6.26013		
0.579825	4.70852	0.563023	4.56886	0.97713	7.95491	0.766766	6.24003	0.766304	6.24375		
0.582497	4.70566	0.56618	4.57063	0.97895	7.92823	0.768792	6.22396	0.768328	6.22761		
0.585177	4.70288	0.569334	4.57236	0.98076	7.90174	0.770828	6.20813	0.770362	6.21172		
0.587863	4.70018	0.572486	4.57406	0.982559	7.87544	0.772875	6.19254	0.772406	6.19608		
0.590555	4.69756	0.575636	4.57572	0.984348	7.84933	0.774931	6.1772	0.77446	6.18069		
0.593254	4.69502	0.578783	4.57734	0.986128	7.82342	0.776998	6.1621	0.776525	6.16553		
0.59596	4.69255	0.581928	4.57893	0.987899	7.7977	0.779075	6.14723	0.7786	6.1506		
0.598671	4.69016	0.58507	4.58048	0.989663	7.77217	0.781163	6.13259	0.780685	6.13591		
0.601389	4.68784	0.588209	4.582	0.991419	7.74685	0.783261	6.11818	0.782781	6.12145		
0.604113	4.68559	0.591347	4.58348	0.993169	7.72173	0.78537	6.10399	0.784887	6.10722		
0.606842	4.6834	0.594481	4.58493	0.994913	7.69682	0.787488	6.09003	0.787003	6.0932		
0.609577	4.68128	0.597614	4.58635	0.996651	7.67211	0.789618	6.07628	0.78913	6.07941		
0.612318	4.67923	0.600744	4.58773	0.998385	7.6476	0.791757	6.06275	0.791267	6.06583		
0.615065	4.67724	0.603871	4.58908	1.00011	7.6233	0.793907	6.04944	0.793415	6.05246		
0.617816	4.6753	0.606996	4.5904			0.796068	6.03633	0.795573	6.03931		
0.620574	4.67343	0.610119	4.59169			0.798239	6.02343	0.797742	6.02636		
0.623336	4.67161	0.613239	4.59295			0.800421	6.01073	0.799921	6.01361		
0.626104	4.66985	0.616357	4.59418			0.802613	5.99823	0.802111	6.00107		
0.628876	4.66815	0.619473	4.59538			0.804815	5.98592	0.804311	5.98872		
