Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		381  Points		386  Points		374  Points		366  Points		342  Points		132  Points		381  Points		379  Points		366  Points		173  Points		126  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.79503	2.56149	0.630154	3.81381	1.79612	2.56132	0.922347	5.63422	1.32099	8.05308	1.69835	10.3589	2.0429	11.5875	0.629554	3.84756	1.80179	2.62839	1.30438	7.95206	1.66814	10.0837	2.1062	11.9088
1.78966	2.56226	0.630684	3.78455	1.79076	2.56211	0.922697	5.55802	1.32577	7.9701	1.69995	10.2247	2.04495	11.5066	0.630417	3.79925	1.79583	2.62854	1.30621	7.85278	1.67154	9.96522	2.10685	11.7786
1.78421	2.56292	0.631326	3.74983	1.78532	2.5628	0.922974	5.48347	1.33062	7.88985	1.7015	10.094	2.04658	11.4437	0.63128	3.75228	1.78986	2.62869	1.30807	7.75634	1.67504	9.85056	2.1074	11.6698
1.77869	2.56349	0.632085	3.71003	1.77982	2.56338	0.923186	5.41056	1.33554	7.81212	1.70303	9.9666	2.0478	11.3979	0.632151	3.70662	1.78389	2.62883	1.30996	7.66272	1.67862	9.73949	2.10784	11.5814
1.77309	2.56395	0.632968	3.66557	1.77423	2.56386	0.923337	5.33925	1.34051	7.73677	1.70453	9.84247	2.04858	11.3689	0.633035	3.66226	1.77792	2.62897	1.3119	7.57191	1.68229	9.63182	2.10819	11.5124
1.76742	2.56431	0.633869	3.62239	1.76858	2.56424	0.923435	5.2695	1.34552	7.66363	1.70601	9.72153	2.04971	11.3275	0.633938	3.61917	1.77195	2.62911	1.31393	7.4839	1.68603	9.52738	2.10845	11.4622
1.76169	2.56458	0.634794	3.58046	1.76286	2.56453	0.923485	5.2013	1.35056	7.59255	1.7075	9.60371	2.05095	11.283	0.634865	3.57734	1.76597	2.62924	1.31604	7.39871	1.68984	9.42599	2.10861	11.4304
1.7559	2.56476	0.635746	3.53976	1.75708	2.56473	0.923494	5.13462	1.35562	7.52339	1.70899	9.48896	2.05265	11.2231	0.63582	3.53673	1.75998	2.62936	1.31827	7.31633	1.6937	9.32748	2.10885	11.3849
1.75005	2.56487	0.636731	3.50028	1.75125	2.56485	0.923465	5.06943	1.36068	7.45602	1.7105	9.3772	2.05482	11.1486	0.636807	3.49733	1.754	2.62948	1.32063	7.23677	1.69761	9.23172	2.10911	11.3358
1.74416	2.56491	0.637751	3.46197	1.74537	2.56491	0.923406	5.00569	1.36574	7.3903	1.71204	9.26839	2.05747	11.0601	0.63783	3.45912	1.74801	2.6296	1.32315	7.16006	1.70156	9.13854	2.10946	11.2698
1.73823	2.56489	0.63881	3.42482	1.73944	2.5649	0.92332	4.9434	1.37078	7.32612	1.71361	9.16248	2.06062	10.9586	0.638892	3.42206	1.74202	2.62972	1.32585	7.08619	1.70555	9.04781	2.10991	11.1875
1.73226	2.56481	0.639912	3.38881	1.73348	2.56483	0.923213	4.88251	1.3758	7.26336	1.71524	9.05941	2.06428	10.845	0.639997	3.38613	1.73603	2.62984	1.32876	7.01519	1.70956	8.9594	2.11046	11.0896
1.72626	2.56469	0.641059	3.3539	1.72749	2.56472	0.923089	4.823	1.38078	7.20191	1.71693	8.95913	2.06797	10.7343	0.641148	3.3513	1.73004	2.62995	1.33188	6.94707	1.71358	8.87318	2.11112	10.9771
